mcq_id,question,difficulty,correct_option,option_b,option_c,option_d,topic,topic_name,option_a,id
352,Which one of the following propositions is false?,6,"$\left||z|-|\,\overline{z}\,|\right|\geq|z-\overline{z}|$, $z\in\mathbb{C}$","$\sqrt{2}\,|z|\geq|\operatorname{Re}(z)|+|\operatorname{Im}(z)|$, $z\in\mathbb{C}$","$|z^n|=|z|^n$, where $n$ is an integer and $z\in\mathbb{C}$","$|z|+|\,\overline{z}\,|\geq|z+\overline{z}|$, $z\in\mathbb{C}$",10,Complex Numbers,"$\left||z|-|\,\overline{z}\,|\right|\geq|z-\overline{z}|$, $z\in\mathbb{C}$",256
353,Represent $z=(3+3i)^5$ in the form $a+bi$.,4,$z=-972-972i$,$z=972+972i$,$z=-243-243i$,$z=243+243i$,10,Complex Numbers,$z=-972-972i$,257
354,The square roots of $2i$ are,3,$z=\pm(1+i)$ ,$z=1\pm i$,$z=\pm\sqrt{2}i$,$z=\pm(-1+i)$,10,Complex Numbers,$z=\pm(1+i)$ ,258
355,Represent $z=(1+i)^3$ in the form $a+bi$.,2,$z=-2+2i$,$z=-2-2i$,$z=2-2i$,$z=2+2i$,10,Complex Numbers,$z=-2+2i$,259
356,Represent $z=(1-2i)^4$ in the form $a+bi$.,4,$z=-7+24i$,$z=1+16i$,$z=-15$,$z=1-16i$,10,Complex Numbers,$z=-7+24i$,260
357,"The complex solutions of the equation  $\,\overline{z}-z=0$ are the complex numbers $z\in\mathbb{C}$ such that",2,$\operatorname{Im}(z)=0$,$\operatorname{Re}(z)=0$3,$\operatorname{Re}(z)+\operatorname{Im}(z)=0$,$\operatorname{Re}(z)=\operatorname{Im}(z)$,10,Complex Numbers,$\operatorname{Im}(z)=0$,261
358,Simplify the expression $ \ \dfrac{1+i}{1-i}-(1+2i) \cdot (2+2i)+\dfrac{3-i}{1+i}$.,4,$3-7i$,$3+7i$,$-3+7i$,$-3-7i$,10,Complex Numbers,$3-7i$,262
359,The principal argument and the exponential form of $\displaystyle z=-\frac{i}{2i+2}$ is,4,$\operatorname{Arg}(z)=-\dfrac{3\pi}{4}$ and $z=\dfrac{\sqrt{2}}{4}\operatorname{e}^{-i\frac{3\pi}{4}}$,$\operatorname{Arg}(z)=-\dfrac{5\pi}{4}$ and $z=\dfrac{\sqrt{2}}{4}\operatorname{e}^{-i\frac{5\pi}{4}}$,$\operatorname{Arg}(z)=\dfrac{5\pi}{4}$ and $z=\dfrac{1}{\sqrt{8}}\operatorname{e}^{i\frac{5\pi}{4}}$,$\operatorname{Arg}(z)=\dfrac{3\pi}{4}$ and $z=\dfrac{1}{\sqrt{8}}\operatorname{e}^{i\frac{3\pi}{4}}$ ,10,Complex Numbers,$\operatorname{Arg}(z)=-\dfrac{3\pi}{4}$ and $z=\dfrac{\sqrt{2}}{4}\operatorname{e}^{-i\frac{3\pi}{4}}$,263
360,If $z=1+\sqrt{3}i$ and $w=\sqrt{3}+i$ then,5,$z w=4i$,$z w=\cos\left(\dfrac{\pi}{2}\right)-i\sin\left(\dfrac{\pi}{2}\right)$,$z w=4\operatorname{e}^{-i\frac{\pi}{2}}$,$z w=\operatorname{e}^{i\frac{\pi}{6}}$,10,Complex Numbers,$z w=4i$,264
362,"The complete bipartite graph $K_{m,n}$ has:",3,$m\times n$ edges.,$m+n$ edges.,odd cycles.,$m \times n$ vertices.,22,Graph Theory,$m\times n$ edges.,265
363,The faces of a regular dodecahedron are:,2,pentagons.,pentagons and triangles.,triangles and squares.,triangles.,7,Fundamental Mathematics,pentagons.,266
364,"If the basis of a pyramid is a n-sided polygon, how many faces does the pyramid have?",2,It has $n+1$ faces.,It has $n+2$ faces.,It has $n$ faces.,It has $n-1$ faces.,7,Fundamental Mathematics,It has $n+1$ faces.,267
365,The graph in the picture,2,is Hamiltonian.,is bipartite.,is complete.,is Eulerian.,22,Graph Theory,is Hamiltonian.,268
366,How many faces does a prism have if the bases are n-sided polygons?,2,It has $n+2$ faces.,It has $n$ faces.,It has $n+3$ faces.,It has $n+1$ faces.,7,Fundamental Mathematics,It has $n+2$ faces.,269
367,Identify the prisms that have less than $6$ vertices.,2,There are no such prisms.,Hexagonal prisms.,Pentagonal prisms.,Heptagonal prisms.,7,Fundamental Mathematics,There are no such prisms.,270
368,Identify the true statement.,1,The regular tetrahedron has four geometrically equal faces.,The tetrahedron has less than four faces.,The tetrahedron has at least four faces.,The tetrahedron is a platonic solid.,7,Fundamental Mathematics,The regular tetrahedron has four geometrically equal faces.,271
369,A quadrilateral is a rectangle when,1,all four internal angles are congruent.,it has congruent internal angles two by two OR it has two pairs of congruent internal angles.,it has congruent sides two by two OR it has two pairs of congruent sides.,it has parallel sides two by two OR it has two pairs of parallel sides.,7,Fundamental Mathematics,all four internal angles are congruent.,272
370,Which of the following graphs admits an Euler circuit?,2,$G_1$ and $G_3$.,All graphs.,None of the graphs.,$G_1$ and $G_2$.,22,Graph Theory,$G_1$ and $G_3$.,273
371,In a parallelogram,1,the two diagonals bisect.,the two diagonals are perpendicular.,the four sides are congruent.,the four angles are congruent.,7,Fundamental Mathematics,the two diagonals bisect.,274
372,Which of the following sentences is false?,4,The graph has a circuit.,The graph has a cycle.,The graph is Eulerian.,The graph is Hamiltonian.,22,Graph Theory,The graph has a circuit.,275
373,The complete graph $K_n$ is:,4,Eulerian for odd values of $n$.,Hamiltonian for all values of $n$.,Eulerian for even $n$.,bipartite for all $n$.,22,Graph Theory,Eulerian for odd values of $n$.,276
374,In a tree with six vertices,3,there are five edges.,all vertices have degree three.,"there are two leafs, that is, two vertices with degree one.",there is a cycle.,22,Graph Theory,there are five edges.,277
386,How many non-isomorphic spanning trees are there in the graph?,4,$3$,$4$,$5$,$6$,22,Graph Theory,$3$,289
388,"Find $\displaystyle\int \dfrac{x^2+1}{x^2+x}\, dx$.",3,"$\displaystyle x+\ln|x|-2\ln|x+1|+ c$
","$\displaystyle x+c$
","$\displaystyle \ln|x|+ c$
",$\displaystyle \dfrac{x}{2}+ c$,5,Integration,"$\displaystyle x+\ln|x|-2\ln|x+1|+ c$
",290
389,"Find $\displaystyle\int \dfrac{x^3-x+1}{x^2-x}\, dx$.",3,$\displaystyle \frac{x^2}{2}+x-\ln|x|+\ln|x-1|+ c$,"$\displaystyle \dfrac{1}{x}\ln|x^2 -x|+c$
","$\displaystyle x+ c$
",$\displaystyle \dfrac{x^2}{2}+x+ c$,5,Integration,$\displaystyle \frac{x^2}{2}+x-\ln|x|+\ln|x-1|+ c$,291
390,"Find $\displaystyle\int \dfrac{{\operatorname{e}^{2x}}}{{\operatorname{e}^{4x}}+1}\, dx$.",1,$\displaystyle \dfrac{1}{2}\arctan(\operatorname{e}^{2x})+c$,"$\displaystyle \arctan(\operatorname{e}^{2x})+c$
","$\displaystyle 2\arctan(\operatorname{e}^{2x})+c$
",$\displaystyle \dfrac{1}{4}\arctan(\operatorname{e}^{2x})+c$,5,Integration,$\displaystyle \dfrac{1}{2}\arctan(\operatorname{e}^{2x})+c$,292
391,"Find $\displaystyle\int \dfrac{{\operatorname{e}^{4x}}}{{\operatorname{e}^{4x}}+1}\, dx$.",1,"$\displaystyle \dfrac{1}{4}\ln(\operatorname{e}^{4x}+1)+c$ 
",$\displaystyle \arctan(\operatorname{e}^{2x})+c$,$\displaystyle \ln(\operatorname{e}^{4x}+1)+c$,$\displaystyle \dfrac{1}{4}\arctan(\operatorname{e}^{4x})+c$,5,Integration,"$\displaystyle \dfrac{1}{4}\ln(\operatorname{e}^{4x}+1)+c$ 
",293
392,"Find $\displaystyle\int \operatorname{e}^{\sqrt x }\, dx$.",2,$\displaystyle2\operatorname{e}^{\sqrt x } (\sqrt x -1)+c$ ,"$\displaystyle \operatorname{e}^{\sqrt x }+c$
","$\displaystyle \operatorname{e}^{x}+c$
",$\displaystyle \dfrac{1}{\sqrt x}\operatorname{e}^{\sqrt x }+c$,5,Integration,$\displaystyle2\operatorname{e}^{\sqrt x } (\sqrt x -1)+c$ ,294
393,"Find $\displaystyle\int\dfrac{1}{x\ln \left(x^2\right)}\, dx$.",1,$\displaystyle \dfrac{1}{2}\ln\left|\ln \left(x^2\right)\right|+c$,"$\displaystyle \ln\left|\ln \left(x\right)\right|+c$
","$\displaystyle \dfrac{1}{\ln^2\left(x^2\right)}+c$
",$\displaystyle \dfrac{1}{2}\ln^2\left(x^2\right)+c$,5,Integration,$\displaystyle \dfrac{1}{2}\ln\left|\ln \left(x^2\right)\right|+c$,295
394,"Find $\displaystyle\int\dfrac{\ln^3\left(2x+2\right)}{x+1}\, dx$.",1,$\displaystyle \dfrac{1}{4}\ln ^4\left(2\left(x+1\right)\right)+c$,"$\displaystyle \dfrac{1}{8}\ln ^4\left(2\left(x+1\right)\right)+c$
","$\displaystyle \dfrac{2\ln^4\left(2x+2\right)}{(x+1)^2}+c$
",$\displaystyle \dfrac{1}{2}\ln^2\left(2x+2\right)+c$,5,Integration,$\displaystyle \dfrac{1}{4}\ln ^4\left(2\left(x+1\right)\right)+c$,296
395,"Find $\displaystyle\int\tan^3\left(3x\right)\, dx$.",4,$\displaystyle -\dfrac{1}{3}\ln \left|\sec \left(3x\right)\right|+\dfrac{\sec ^2\left(3x\right)}{6}+c$ ,"$\displaystyle \dfrac{\tan^4\left(3x\right)}{12}+c$
","$\displaystyle \dfrac{2\ln^4\left(2x+2\right)}{(x+1)^2}+c$
",$\displaystyle \dfrac{1}{2}\sec(3x)\ln^2\left(3x\right)+c$,5,Integration,$\displaystyle -\dfrac{1}{3}\ln \left|\sec \left(3x\right)\right|+\dfrac{\sec ^2\left(3x\right)}{6}+c$ ,297
396,"Find $\displaystyle\int \sin^2(x)\cos^3(x)\, dx$.",2,$\displaystyle\dfrac{\sin^3(x)}{3}-\dfrac{\sin^5(x)}{5}+c$,"$\displaystyle\dfrac{\sin^3(x)}{3}\dfrac{\cos^4(x)}{4}+c$
","$\displaystyle 3\sin(x)\dfrac{\cos^2(x)}{5}+c$
",\item $\displaystyle \cos(x)+\sin(x)$,5,Integration,$\displaystyle\dfrac{\sin^3(x)}{3}-\dfrac{\sin^5(x)}{5}+c$,298
397,"Find $\displaystyle\int x\cos(x^2)\sin^3(x^2)\, dx$.",4,$\displaystyle\dfrac{1}{8}\sin^4(x^2)+c$,"$\displaystyle\dfrac{\sin^3(x)}{3}-\dfrac{\sin^5(x)}{5}+c$
","$\displaystyle 3\sin(x)\dfrac{\cos^2(x)}{4}+c$
",$\displaystyle \cos(x)+\sin(x)$,5,Integration,$\displaystyle\dfrac{1}{8}\sin^4(x^2)+c$,299
398,"Find $\displaystyle\int \dfrac{1}{2\sqrt{x}}\sec^2(\sqrt{x})\tan(\sqrt{x})\, dx$.",1,$\displaystyle\dfrac{\tan^2(\sqrt{x})}{2}+c$,"$\displaystyle\tan|\sqrt{x}|+c$ 
","$\displaystyle\ln|\tan{\sqrt{x}}-\sec(\sqrt{x})|+c$
",$\displaystyle\dfrac{\tan^2(x)}{2}+c$,5,Integration,$\displaystyle\dfrac{\tan^2(\sqrt{x})}{2}+c$,300
399,"Find $\displaystyle\int \dfrac{1}{2\sqrt{x}}- \dfrac{1}{2\sqrt{x}}\sec^2(\sqrt{x})+ \sec^2(3x)\tan^3(3x)\, dx$.",4,$\displaystyle\sqrt{x}-\tan\left(\sqrt{x}\right)+\dfrac{1}{12}\tan^4(3x)    +c$,"$\displaystyle\dfrac{\tan^2(\sqrt{x})}{2}+c$. 
","$\displaystyle\sqrt{x}-2\tan\left(\dfrac{x}{2}\right)+ \dfrac{\sec ^4\left(3x\right)}{4}-\dfrac{\sec ^2\left(3x\right)}{2}+c$
",$\displaystyle\dfrac{\tan^4(x)}{4}+c$,5,Integration,$\displaystyle\sqrt{x}-\tan\left(\sqrt{x}\right)+\dfrac{1}{12}\tan^4(3x)    +c$,301
400,"Find $\displaystyle\int \dfrac{1}{\sqrt{x}}\operatorname{cosec}^2(\sqrt{x})\cot^4(\sqrt{x})\, dx$.",1,$\displaystyle-\dfrac{2\cot^5(\sqrt{x})}{5}+c$,"$\displaystyle\dfrac{2\cot^5(\sqrt{x})}{5}+c$ 
","$\displaystyle-\dfrac{\cot^5(\sqrt{x})}{5}+c$
",$\displaystyle\dfrac{\cot^5(\sqrt{x})}{5}+c$,5,Integration,$\displaystyle-\dfrac{2\cot^5(\sqrt{x})}{5}+c$,302
401,"Find $\displaystyle\int \sqrt[3]{1+7x}\, dx$.",1,$\dfrac{3}{28}\left(1+7x\right)^{\frac{4}{3}}+c$,"$\dfrac{3}{4}\left(1+x\right)^{\frac{4}{3}}+c$ 
","$\dfrac{3}{4}\left(1+7x\right)^{\frac{4}{3}}+c$
",$\left(1+7x\right)^{\frac{4}{3}}+c$,5,Integration,$\dfrac{3}{28}\left(1+7x\right)^{\frac{4}{3}}+c$,303
402,"Find $\displaystyle\int x\arctan\left(x\right)\, dx$.",2,$\displaystyle\dfrac{1}{2}x^2\arctan \left(x\right)-\dfrac{1}{2}\left(-\arctan \left(x\right)+x\right)+c$,"$\displaystyle\dfrac{1}{2}x^2\arctan \left(x\right)+\dfrac{1}{2}\left(-\arctan \left(x\right)+x\right)+c$
","$0$
",$\displaystyle x^2\arctan \left(x\right)-\left(-\arctan \left(x\right)+x\right)+c$,5,Integration,$\displaystyle\dfrac{1}{2}x^2\arctan \left(x\right)-\dfrac{1}{2}\left(-\arctan \left(x\right)+x\right)+c$,304
403,"Find $\displaystyle\int \dfrac{x+2}{x\left(x^2+1\right)}\, dx$.",2,$\arctan \left(x\right)+2\ln \left|x\right|-\ln \left|x^2+1\right| +c$,"$\arctan \left(x\right)-\ln \left|x\right|-\ln \left|x^2+1\right| +c$ 
","$x +2\ln \left|x\right|-\ln \left|x^2+1\right|  +c$
",$x-\ln \left|x\right|-\ln \left|x^2+1\right| +c$,5,Integration,$\arctan \left(x\right)+2\ln \left|x\right|-\ln \left|x^2+1\right| +c$,305
404,"Find $\displaystyle\int \dfrac{x-4}{x^3-x}\, dx$.",3,$\displaystyle -\dfrac{1}{2}\ln \left|x+1\right|+\dfrac{1}{2}\ln \left|x-1\right|-2\left(\ln \left|x^2-1\right|-2\ln \left(x\right)\right)+c$,"$\displaystyle -\ln \left|x+1\right|+\ln \left|x-1\right|-\left(\ln \left|x^2-1\right|-\ln \left(x\right)\right)+c$ 
","$\displaystyle -\ln \left|x+2\right|+\ln \left|x-2\right|-\left(\ln \left|x^2-2\right|-\ln \left(2x\right)\right)+c$
",$\displaystyle -\dfrac{1}{2}\ln \left|x+1\right|+\dfrac{1}{2}\ln \left|x-1\right|-2\ln \left(x\right)+c$,5,Integration,$\displaystyle -\dfrac{1}{2}\ln \left|x+1\right|+\dfrac{1}{2}\ln \left|x-1\right|-2\left(\ln \left|x^2-1\right|-2\ln \left(x\right)\right)+c$,306
405,"Find $\displaystyle\int \dfrac{x^4-4}{x^3-3x}\, dx$.",2, $\displaystyle \dfrac{x^2}{2}+\dfrac{5}{6}\ln \left|x-\sqrt{3}\right|+\dfrac{5}{6}\ln \left|x+\sqrt{3}\right|+\dfrac{4}{3}\ln \left(x\right)+c$,"$\displaystyle x^2+\dfrac{5}{6}\ln \left|(x-\sqrt{3})(x+\sqrt{3})\right|+\dfrac{4}{3}\ln \left(x\right)+c$ 
","$\displaystyle \dfrac{x^2}{2}-\ln|x^2-3|+\dfrac{4}{3}\ln \left(x\right)+c$ 
",$\displaystyle -\dfrac{1}{2}\ln \left|x+1\right|+\dfrac{1}{2}\ln \left|x-1\right|-2\ln \left(x\right)+c$ ,5,Integration, $\displaystyle \dfrac{x^2}{2}+\dfrac{5}{6}\ln \left|x-\sqrt{3}\right|+\dfrac{5}{6}\ln \left|x+\sqrt{3}\right|+\dfrac{4}{3}\ln \left(x\right)+c$,307
406,"Find $\displaystyle\int \dfrac{x^3-x+1}{x}\, dx$.",1,$\displaystyle \dfrac{x^3}{3}-x+\ln \left|x\right|+c$,"$\displaystyle -\ln \left|x+1\right|+\ln \left|x-1\right|-\left(\ln \left|x^2-1\right|-\ln \left(x\right)\right)+c$ 
","$\displaystyle -\ln \left|x+2\right|+\ln \left|x-2\right|-\left(\ln \left|x^2-2\right|-\ln \left(2x\right)\right)+c$
",$\displaystyle -\dfrac{1}{2}\ln \left|x+1\right|+\dfrac{1}{2}\ln \left|x-1\right|-2\ln \left(x\right)+c$,5,Integration,$\displaystyle \dfrac{x^3}{3}-x+\ln \left|x\right|+c$,308
407,"Find $\displaystyle\int \sin\left(x\right)\operatorname{e}^x\, dx$.",2,$\displaystyle -\dfrac{\operatorname{e}^x\cos \left(x\right)}{2}+\dfrac{\operatorname{e}^x\sin \left(x\right)}{2}+c$,"$\displaystyle -\cos\left(x\right)\operatorname{e}^x+c$
","$\displaystyle \dfrac{\operatorname{e}^x\cos \left(x\right)}{2}-\dfrac{\operatorname{e}^x\sin \left(x\right)}{2}+c$
",$\displaystyle \dfrac{\operatorname{e}^x\cos \left(x\right)}{5}-\dfrac{\operatorname{e}^x\sin \left(x\right)}{15}+c$ ,5,Integration,$\displaystyle -\dfrac{\operatorname{e}^x\cos \left(x\right)}{2}+\dfrac{\operatorname{e}^x\sin \left(x\right)}{2}+c$,309
408,"Find $\displaystyle\int \cos\left(3x\right)\operatorname{e}^{4x}\, dx$.",2,$\displaystyle\dfrac{3\operatorname{e}^{4x}\sin \left(3x\right)}{25}+\dfrac{4\operatorname{e}^{4x}\cos \left(3x\right)}{25}+c$,"$\displaystyle -\cos\left(x\right)\operatorname{e}^x+c$
","$\displaystyle \dfrac{\operatorname{e}^x\cos \left(x\right)}{2}-\dfrac{\operatorname{e}^x\sin \left(x\right)}{2}+c$
",$\displaystyle \dfrac{\operatorname{e}^x\cos \left(x\right)}{5}-\dfrac{\operatorname{e}^x\sin \left(x\right)}{15}+c$ ,5,Integration,$\displaystyle\dfrac{3\operatorname{e}^{4x}\sin \left(3x\right)}{25}+\dfrac{4\operatorname{e}^{4x}\cos \left(3x\right)}{25}+c$,310
409,"Find $\displaystyle\int \dfrac{x^2+3x+7}{(x^2+4)(x^2+3)}\, dx$.",3,$\displaystyle-\dfrac{3}{2}\ln(x^2+4)-\dfrac{3}{2}\arctan\left(\dfrac{x}{2}\right)+\dfrac{3}{2}\ln(x^2+3)+\dfrac{4}{\sqrt{3}}\arctan\left(\dfrac{x}{\sqrt{3}}\right)+c$,"$\displaystyle \dfrac{x^2}{2}-\ln|x^2-3|+\dfrac{4}{3}\ln \left(x\right)+c$ 
","$\displaystyle -\dfrac{1}{2}\ln \left|x+2\right|+\dfrac{1}{2}\ln \left|x-2\right|-2\left(\ln \left|x^2+3\right|-2\ln \left(x\right)\right)+c$
",$\arctan \left(x\right)+2\ln \left|x\right|-\ln \left|x^2+1\right| +c$,5,Integration,$\displaystyle-\dfrac{3}{2}\ln(x^2+4)-\dfrac{3}{2}\arctan\left(\dfrac{x}{2}\right)+\dfrac{3}{2}\ln(x^2+3)+\dfrac{4}{\sqrt{3}}\arctan\left(\dfrac{x}{\sqrt{3}}\right)+c$,311
410,"Find $\displaystyle\int \dfrac{x^2+3x}{(x-4)^2(x-1)}\, dx$.",4,$\displaystyle\dfrac{5}{9}\ln|x-4|-\dfrac{28}{3(x-4)}+\dfrac{4}{9}\ln|x-1|+c$,"$\displaystyle \dfrac{1}{2}-\ln^2|x-4|+\dfrac{4}{3}\ln \left(x-1\right)+c$ 
","$\displaystyle -\dfrac{1}{2}\ln \left|x-4\right|+\dfrac{1}{2}\ln \left|x-1\right|+c$
",$\displaystyle -\dfrac{1}{2}\ln \left|\sqrt{x+1}\right|+\dfrac{1}{2}\ln \left|x-1\right|+c$,5,Integration,$\displaystyle\dfrac{5}{9}\ln|x-4|-\dfrac{28}{3(x-4)}+\dfrac{4}{9}\ln|x-1|+c$,312
411,"Find $\displaystyle\int \left(4x^3+3x^2\right)\ln \left(x+1\right)\, dx$.",3,$\displaystyle  \ln \left(x+1\right)\left(x^4+x^3\right)-\dfrac{x^4}{4}+c$,"$\displaystyle \left(x+1\right)\left(x^4+x^3\right)-\ln|x+1|+\dfrac{1}{3}\ln \left(x-1\right)+c$ 
","$\displaystyle -\dfrac{1}{2}\ln \left|x-4\right|+\dfrac{1}{2}\ln \left|x-1\right|+c$
",$\displaystyle -\dfrac{1}{2}\ln \left|x+2\right|+\dfrac{1}{2}\ln \left|x-2\right|-2\left(\ln \left|x^2+3\right|-2\ln \left(x\right)\right)+c$,5,Integration,$\displaystyle  \ln \left(x+1\right)\left(x^4+x^3\right)-\dfrac{x^4}{4}+c$,313
412,"Find $\displaystyle\int\sin^{4}\left(x\right)\, dx$.",1,$\displaystyle-\dfrac{\sin^{3}(x)\cos(x)}{4}+\dfrac{3}{8}\left(x-\sin(x)\cos(x)\right)+c$,"$\displaystyle-\dfrac{\sin^{3}(x)\cos(x)}{4}+\dfrac{3}{4}\left(x-\sin(x)\cos(x)\right)+c$ 
","$\displaystyle\dfrac{\sin^{3}(x)\cos(x)}{4}-\dfrac{3}{8}\left(x-\sin(x)\cos(x)\right)+c$
",$\displaystyle\dfrac{\sin^{3}(x)\cos(x)}{4}-\dfrac{3}{4}\left(x-\sin(x)\cos(x)\right)+c$,5,Integration,$\displaystyle-\dfrac{\sin^{3}(x)\cos(x)}{4}+\dfrac{3}{8}\left(x-\sin(x)\cos(x)\right)+c$,314
413,"Find $\displaystyle\int\left(2x^2+x+1\right)x^{-2}\, dx$.",1,$\displaystyle 2x+\ln \left|x\right|-\dfrac{1}{x}+c$,"$\displaystyle 2+x^{-1}-\ln|x|+c$ 
","$\displaystyle\dfrac{x^4}{4}+\dfrac{x^3}{3}-x+c$
",$\displaystyle\dfrac{2x^5}{5}+\dfrac{x^4}{4}+\dfrac{1}{x^3}+c$,5,Integration,$\displaystyle 2x+\ln \left|x\right|-\dfrac{1}{x}+c$,315
414,"Find $\displaystyle\int\dfrac{x^3-3x+2}{x^4}\, dx$.",1,$\displaystyle \ln \left|x\right|+\dfrac{3}{2x^2}-\dfrac{2}{3x^3}+c$,"$\displaystyle-\dfrac{\ln^{3}(x)\ln(x)}{4}+\dfrac{3}{4}\left(x-\ln(x)\right)+c$ 
","$\displaystyle\dfrac{x^5}{5}\ln(x)-\dfrac{x^5}{25}+c$
",$\displaystyle \dfrac{x^5}{5}-\dfrac{\ln^2(x)}{2}+c$,5,Integration,$\displaystyle \ln \left|x\right|+\dfrac{3}{2x^2}-\dfrac{2}{3x^3}+c$,316
442,Differentiate $\sqrt{2x^2+1} \cdot \left(2x^4+1\right)^3$.,2,$\displaystyle{\frac{dy}{dx}} = \dfrac{2x\left(2x^4+1\right)^3}{\sqrt{2x^2+1}}+24x^3\sqrt{2x^2+1}\left(2x^4+1\right)^2$,$\displaystyle{\frac{dy}{dx}} = \dfrac{2x\left(2x^4+1\right)^3}{\sqrt{2x^2+1}}-24x^3\sqrt{2x^2+1}\left(2x^4+1\right)^2$,$\displaystyle{\frac{dy}{dx}} = \dfrac{2x\left(2x^4+1\right)^3}{\sqrt{2x^2+1}}+12x^3\sqrt{2x^2+1}\left(2x^4+1\right)^2$,$\displaystyle{\frac{dy}{dx}} = \dfrac{2x\left(2x^4+1\right)^3}{\sqrt{2x^2+1}}-12x^3\sqrt{2x^2+1}\left(2x^4+1\right)^2$,4,Differentiation,$\displaystyle{\frac{dy}{dx}} = \dfrac{2x\left(2x^4+1\right)^3}{\sqrt{2x^2+1}}+24x^3\sqrt{2x^2+1}\left(2x^4+1\right)^2$,343
456,"In a triangle, the centroid (or barycenter) is the point of intersection of",4,the medians of the triangle.,the bisectors of the internal angles of the triangle.,the perpendicular bisectors of the sides of the triangle.,the triangle altitudes (or their extensions).,7,Fundamental Mathematics,the medians of the triangle.,356
458,"Through two points, we can draw one line.
Through three points, three lines can be drawn.
Through thirty points, how many lines can we draw?",4,$435$ lines.,$445$ lines.,$455$ lines.,$465$ lines.,7,Fundamental Mathematics,$435$ lines.,358
460,A polyhedron with $20$ faces and $30$ edges has:,3,$12$ vertices.,$6$ vertices.,$18$ vertices.,$24$ vertices.,7,Fundamental Mathematics,$12$ vertices.,360
461,Which of the following sentences has only platonic solids?,3,"Tetrahedron, octahedron, and icosahedron.","Hexahedron, decahedron, and dodecahedron.","Tetrahedron, heptahedron, and icosahedron.","Cone, cylinder, and sphere.",7,Fundamental Mathematics,"Tetrahedron, octahedron, and icosahedron.",361
462,Select the platonic solid whose sum of the number of faces with the number of vertices is $14$.,3,Octahedron.,Tetrahedron.,Dodecahedron.,Icosahedron.,7,Fundamental Mathematics,Octahedron.,362
463,"The sum of the number of faces with the number of vertices of a solid is $17$. 
Choose the correct answer.",3,The solid is a pentagonal prism.,The solid is a hexagonal prism.,The solid is a hexagonal pyramid.,The solid is a pentagonal pyramid.,7,Fundamental Mathematics,The solid is a pentagonal prism.,363
464,The number of diagonals of an $n$-sided polygon is,4,$\dfrac{n\left(n-3\right)}{2}$.,$n\left(n-3\right)$.,$2n-2$.,$2n\left(n-3\right)$.,7,Fundamental Mathematics,$\dfrac{n\left(n-3\right)}{2}$.,364
465,"A simple graph is a graph, oriented or not, with",1,a non empty set of vertices.,multiple edges.,loops.,a non empty set of edges.,22,Graph Theory,a non empty set of vertices.,365
466,The graph,1,has at least two non-adjacent vertices.,is disconnected.,has one vertex with degree $5$.,has an isolated vertex.,22,Graph Theory,has at least two non-adjacent vertices.,366
467,Choose the true statement.,2,A concave polygon may have a diagonal outside the polygon.,A convex polygon may have a diagonal outside the polygon.,The diagonals of a convex polygon are all congruent.,A diagonal can join two consecutive vertices of the polygon.,7,Fundamental Mathematics,A concave polygon may have a diagonal outside the polygon.,367
468,"If a subgraph $G'(V', E')$ of the graph $G(V, E)$ is regular, then:",1,"$V'\subseteq V$, $E'\subseteq E$ and all vertices of $G'$ have the same degree.",$V'=V$ and $E'\subseteq E$.,$V\subseteq V'$ and $E\subseteq E'$.,$V'\subseteq V$ and $E'=\emptyset$.,22,Graph Theory,"$V'\subseteq V$, $E'\subseteq E$ and all vertices of $G'$ have the same degree.",368
469,"If a simple graph has ten edges and five vertices with same degree, then each vertex has degree",2,four.,two.,three.,five.,22,Graph Theory,four.,369
470,"If a simple graph has at least one edge, then",4,there are always two vertices with same degree.,there are always two vertices with odd degree.,there are no vertices with same degree.,there always are two vertices with even degree.,22,Graph Theory,there are always two vertices with same degree.,370
471,$G$ is a non trivial connected simple graph. Which is the true sentence?,4,If $|V(G)|\geq 2$ there is a connected induced subgraph.,All induced subgraphs of $G$ are connected.,All subgraphs of $G$ are connected.,There is a non-trivial proper induced subgraph that is also connected.,22,Graph Theory,If $|V(G)|\geq 2$ there is a connected induced subgraph.,371
472,"If $G=(V,E)$ is a $k$-regular graph, then",3,$2|E|= k|V|$.,$|E|= k|V|$.,$|E|=2k|V|$.,$|E|=2|V|$.,22,Graph Theory,$2|E|= k|V|$.,372
473,Which pair has two isomorphic graphs?,4,(a).,(b).,(c).,(d).,22,Graph Theory,(a).,373
474,How many non-isomorphic simple graphs with four vertices are there?,4,$12$,$10$,$16$,$20$,22,Graph Theory,$12$,374
475,"The adjacency matrix

$\begin{pmatrix}
0 & 1 & 0 & 1 \\
1 & 0 & 1 & 1 \\
0 & 1 & 0 & 0 \\ 
1 & 1 & 0 & 0 
\end{pmatrix}$ represents the graph",3,(b).,(a).,(c).,(d).,22,Graph Theory,(b).,375
